Title,Image,_287661cb_URL,c4fc20ba,f343d9ce,_7afabd84,_4b74b8bb,_4720d1a0,_4720d1a01,_4720d1a02,_85d9f2e2,_3d84afe9
Worthy 1700 SQ FT Residential Apartment is for sale at 16 No. Chawk Bazaar Ward,,https://www.bproperty.com/en/property/details-5459145.html,BDT,1.19 Crore,"Beverly Hill Housing Estate, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,700 sqft", Call, Email
Find 1700 SQ FT flat available for sale in Chawk Bazar,,https://www.bproperty.com/en/property/details-5459144.html,BDT,1.53 Crore,"Beverly Hill Housing Estate, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,700 sqft", Call, Email
A well-constructed 1700 SQ FT flat is for sale in 16 No. Chawk Bazaar Ward,,https://www.bproperty.com/en/property/details-5459142.html,BDT,1.5 Crore,"Beverly Hill Housing Estate, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,700 sqft", Call, Email
Worthy 1700 SQ FT residence is for sale at Chawk Bazar,,https://www.bproperty.com/en/property/details-5459141.html,BDT,1.53 Crore,"Beverly Hill Housing Estate, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,700 sqft", Call, Email
1700 SQ FT flat is now for sale in 16 No. Chawk Bazaar Ward,https://images-cdn.bproperty.com/thumbnails/1488511-400x300.jpeg,https://www.bproperty.com/en/property/details-5459140.html,BDT,1.53 Crore,"Beverly Hill Housing Estate, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,700 sqft", Call, Email
In 16 No. Chawk Bazaar Ward 1595 SQ FT flat is available for sale,https://images-cdn.bproperty.com/thumbnails/1488517-400x300.jpeg,https://www.bproperty.com/en/property/details-3276006.html,BDT,1.1 Crore,"Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,595 sqft", Call, Email
Offering You A 1632 Sq Ft Flat For Sale In Bagmoniram Near To Shahid Zia Shishu Park,https://images-cdn.bproperty.com/thumbnails/576004-400x300.jpeg,https://www.bproperty.com/en/property/details-1783409.html,BDT,1.2 Crore,"15 No. Bagmoniram Ward, Chattogram",Apartment,3,4,"1,632 sqft", Call, Email
Feel Relaxed By Living In This 1200 Sq Ft Flat For Sale In 33 No. Firingee Bazaar Ward,https://images-cdn.bproperty.com/thumbnails/1487710-400x300.jpeg,https://www.bproperty.com/en/property/details-5458585.html,BDT,60 Lakh,"33 No. Firingee Bazaar Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email
"At 33 No. Firingee Bazaar Ward, 1200 Sq Ft Flat Is Up For Sale",https://images-cdn.bproperty.com/thumbnails/1487712-400x300.jpeg,https://www.bproperty.com/en/property/details-5458598.html,BDT,60 Lakh,"33 No. Firingee Bazaar Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email
"This 1525 Square Feet Apartment Is Ready For Sale Khulsi Hill R/a, South Khulshi",,https://www.bproperty.com/en/property/details-5457890.html,BDT,83.88 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,525 sqft", Call, Email
Modern Home For Residents | 1787 Sq Ft Flat In Panchlaish Residential Area Is Up For Sale,,https://www.bproperty.com/en/property/details-4714543.html,BDT,1.6 Crore,"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,787 sqft", Call, Email
"Buy This 1525 Sq Ft Apartment In South Khulsi, Khulsi Hill R/a",,https://www.bproperty.com/en/property/details-5457887.html,BDT,83.88 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,525 sqft", Call, Email
Reside In This 1475 Sq Ft Apartment Up For Sale In South Khulsi,,https://www.bproperty.com/en/property/details-5457886.html,BDT,81.13 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,475 sqft", Call, Email
Grab This 1475 Sq Ft Apartment Ready For Sale In South Khulshi,,https://www.bproperty.com/en/property/details-5457884.html,BDT,81.13 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,475 sqft", Call, Email
Grab This 3 Bedroom Apartment Up For Sale At Muradpur Beside Doctors Hospital .,,https://www.bproperty.com/en/property/details-5325292.html,BDT,90 Lakh,"Muradpur, Chattogram",Apartment,3,3,"1,450 sqft", Call, Email
"Take The Opportunity Of Buying This 1525 Sq Ft Apartment In South Khulsi, Khulsi Hill R/a",,https://www.bproperty.com/en/property/details-5457883.html,BDT,83.88 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,525 sqft", Call, Email
"Ensure A Satisfactory Life In This 1525 Sq Ft Apartment, Which Is Up For Sale In South Khulsi",,https://www.bproperty.com/en/property/details-5457878.html,BDT,83.88 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,525 sqft", Call, Email
A Nicely Build 1475 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Khulsi Hill R/A.,,https://www.bproperty.com/en/property/details-5457877.html,BDT,81.13 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,475 sqft", Call, Email
A Very Well-fitted Home Is Here Sited At Khulsi Hill R/A Featuring 1475 Sq Ft Space For Sale.,,https://www.bproperty.com/en/property/details-5457889.html,BDT,81.13 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,475 sqft", Call, Email
"A Calming 1490 Sq Ft Home Is Available At Muradpur, Road No 6 At A Very Low Price",,https://www.bproperty.com/en/property/details-4719333.html,BDT,1.05 Crore,"Nasirabad Housing Society, Muradpur, Chattogram",Apartment,3,3,"1,490 sqft", Call, Email
Flat for Sale in 4 No Chandgaon Ward near Bangladesh Pani Unnayon Board,,https://www.bproperty.com/en/property/details-1908783.html,BDT,60 Lakh,"A-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,320 sqft", Call, Email
5 Khata Plot For Sale In In A Prime Location Of South Khulshi,,https://www.bproperty.com/en/property/details-5461494.html,BDT,4.5 Crore,"South Khulshi, Khulshi, Chattogram",Plot,"3,600 sqft",,, Call, Email
"This 1365 Square Feet Apartment Is Ready For Sale At Katalganj Residential Area, 16 No. Chawk Bazaar Ward",,https://www.bproperty.com/en/property/details-3118600.html,BDT,90.09 Lakh,"Katalganj Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,365 sqft", Call, Email
Buy This 1200 Sq Ft Flat In 33 No. Firingee Bazaar Ward,,https://www.bproperty.com/en/property/details-5458584.html,BDT,60 Lakh,"33 No. Firingee Bazaar Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email
Plan To Live In This 1300 Sq Ft Apartment Up For Sale In 26 No. North Halishahar Ward,,https://www.bproperty.com/en/property/details-4397500.html,BDT,55 Lakh,"Road No 1, Block J, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,2,"1,300 sqft", Call, Email
2000 SQ FT flat is now Vacant for sale in 15 No. Bagmoniram Ward,,https://www.bproperty.com/en/property/details-5042629.html,BDT,1.6 Crore,"Amirbag Residential Area, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"2,000 sqft", Call, Email
This 1850 Sq. ft Flat Which Is Available In Katalganj Residential Area For Sale Will Ensure Your Higher Quality Of Living,,https://www.bproperty.com/en/property/details-3118610.html,BDT,1.17 Crore,"Katalganj Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,850 sqft", Call, Email
Express Your Individuality At This 1530 Sq. ft Apartment Which Is Vacant For Sale In The Location Of Katalganj Residential Area.,https://images-cdn.bproperty.com/thumbnails/1487737-400x300.jpeg,https://www.bproperty.com/en/property/details-5413678.html,BDT,1.07 Crore,"Katalganj Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,530 sqft", Call, Email
This 2300 Sq Ft Apartment Is Available For Sale In Katalganj Residential Area,https://images-cdn.bproperty.com/thumbnails/1487685-400x300.jpeg,https://www.bproperty.com/en/property/details-5458778.html,BDT,1.5 Crore,"Katalganj Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,4,4,"2,300 sqft", Call, Email
This 980 Sq Ft Apartment Surrounding A Great Locality Is Ready For Sale In 26 No. North Halishahar Ward,https://images-cdn.bproperty.com/thumbnails/1489412-400x300.jpeg,https://www.bproperty.com/en/property/details-3174437.html,BDT,50 Lakh,"New  A Block, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,2,2,980 sqft, Call, Email
"Get To Live A Modest Life In This 980 Sq Ft Flat, Up For Sale In 26 No. North Halishahar Ward",https://images-cdn.bproperty.com/thumbnails/1489414-400x300.jpeg,https://www.bproperty.com/en/property/details-3174438.html,BDT,50 Lakh,"New  A Block, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,2,2,980 sqft, Call, Email
We Are Offering You This 980 Sq Ft Flat To Buy In 26 No. North Halishahar Ward,https://images-cdn.bproperty.com/thumbnails/1489417-400x300.jpeg,https://www.bproperty.com/en/property/details-3174439.html,BDT,50 Lakh,"New  A Block, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,2,2,980 sqft, Call, Email
Buy This 1580 Sq Ft Nice Apartment With 3 Bedrooms In 16 No. Chawk Bazaar Ward,https://images-cdn.bproperty.com/thumbnails/1489402-400x300.jpeg,https://www.bproperty.com/en/property/details-3500361.html,BDT,85 Lakh,"Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,3,"1,580 sqft", Call, Email
"In The Location Of Khulshi Hill R/A , 2658 Square Ft. Spacious Apartment Is Up For Sale.",,https://www.bproperty.com/en/property/details-3287225.html,BDT,2.3 Crore,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,4,4,"2,658 sqft", Call, Email
Grab This 2 Bedroom Small Apartment Up For Sale At West Khulshi R/A.,,https://www.bproperty.com/en/property/details-3651200.html,BDT,37 Lakh,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",Apartment,2,2,900 sqft, Call, Email
This 980 Sq Ft Apartment Will Be Convenient Enough For You To Buy In 26 No. North Halishahar Ward,,https://www.bproperty.com/en/property/details-3174440.html,BDT,50 Lakh,"New  A Block, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,2,2,980 sqft, Call, Email
"At Amirbag R/a, A 2000 Sq Ft Nice Flat Is For Sale",,https://www.bproperty.com/en/property/details-5042630.html,BDT,1.6 Crore,"Amirbag Residential Area, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"2,000 sqft", Call, Email
Move in and inhabit this 1180 SQ FT properly constructed apartment for sale in Lichu Bagan,,https://www.bproperty.com/en/property/details-5355117.html,BDT,82 Lakh,"Lichu Bagan, Jamal Khan, Chattogram",Apartment,3,3,"1,180 sqft", Call, Email
Ready flat 1435 SQ FT is now for sale in Mehidibag,,https://www.bproperty.com/en/property/details-4910358.html,BDT,70 Lakh,"Mehidibag, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"1,435 sqft", Call, Email
"At Char Chaktai, Bakalia, 800 Sq Ft Flat Is Up For Sale",,https://www.bproperty.com/en/property/details-5460691.html,BDT,38 Lakh,"Char Chaktai, 19 No. South Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,800 sqft, Call, Email
This 935 Sq. ft Convenient Flat Is For Sale In Chawk Bazar Beside To Chattagram Laboratory School & College.,,https://www.bproperty.com/en/property/details-5397650.html,BDT,35 Lakh,"Joy Nagar, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,2,2,935 sqft, Call, Email
Available Residential Apartment At Shyamol Chhaya Residential Area Is Up For Sale.,,https://www.bproperty.com/en/property/details-5454331.html,BDT,40 Lakh,"Shyamol Chhaya Residential Area, Chadra Nagar, Bayazid, Chattogram",Apartment,3,2,"1,000 sqft", Call, Email
Check This Flat In Shyamol Chhaya Residential Area- Chadra Nagar For Sale Which Is Ready To Move,,https://www.bproperty.com/en/property/details-3126671.html,BDT,40 Lakh,"Shyamol Chhaya Residential Area, Chadra Nagar, Bayazid, Chattogram",Apartment,3,2,"1,000 sqft", Call, Email
This 1215 Sq. Ft. Flat Is Up For Sale At Buddhist Temple Road-Enayet Bazaar.,,https://www.bproperty.com/en/property/details-3739693.html,BDT,65 Lakh,"22 No. Enayet Bazaar Ward, Chattogram",Apartment,2,2,"1,215 sqft", Call, Email
"An Adequate And Cozy Flat Is Ready For Sale At Shyamol Chhaya Residential Area, Bayazid .",,https://www.bproperty.com/en/property/details-5454330.html,BDT,40 Lakh,"Shyamol Chhaya Residential Area, Chadra Nagar, Bayazid, Chattogram",Apartment,3,2,"1,000 sqft", Call, Email
Move In To This 1780 Sq Ft Apartment Ready For Sale In South Khulshi,,https://www.bproperty.com/en/property/details-3120362.html,BDT,1.05 Crore,"South Khulshi, Khulshi, Chattogram",Apartment,3,4,"1,780 sqft", Call, Email
1550 Sq Ft Flat Is Up For Sale In Halishahar Close To Halishahar Jame Masjid,,https://www.bproperty.com/en/property/details-1873888.html,BDT,77.5 Lakh,"Block K, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"1,550 sqft", Call, Email
Fairly Spacious Apartment Of 2200 Sq Ft Is Ready For Sale n 15 No. Bagmoniram Ward,,https://www.bproperty.com/en/property/details-5457803.html,BDT,1.9 Crore,"15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"2,200 sqft", Call, Email
"Buy This 1500 Sq Ft Apartment With 3 Bedrooms, In 15 No. Bagmoniram Ward",,https://www.bproperty.com/en/property/details-4462058.html,BDT,1.25 Crore,"15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email
Plan To Live In This 1780 Sq Ft Apartment Ready For Sale In South Kulshi,,https://www.bproperty.com/en/property/details-3120356.html,BDT,85 Lakh,"South Khulshi, Khulshi, Chattogram",Apartment,3,4,"1,780 sqft", Call, Email
Well-developed 1000 SQ FT Residence up for sale in Bayazid,,https://www.bproperty.com/en/property/details-3126669.html,BDT,40 Lakh,"Shyamol Chhaya Residential Area, Chadra Nagar, Bayazid, Chattogram",Apartment,3,2,"1,000 sqft", Call, Email
This 1455 Sq. Ft Home In Devpahar -Chawk Bazar Is Up For Sale In A Wonderful Neighborhood,,https://www.bproperty.com/en/property/details-5008116.html,BDT,95 Lakh,"Devpahar, Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,455 sqft", Call, Email
"Buy This Nicely Designed 1750 Sq Ft Flat In East Nasirabad, Zakir Hossain By Lane",https://images-cdn.bproperty.com/thumbnails/1501237-400x300.jpeg,https://www.bproperty.com/en/property/details-5470746.html,BDT,1.23 Crore,"East Nasirabad, Chattogram",Apartment,3,4,"1,750 sqft", Call, Email
2065 Sq Ft Apartment With Decent Rooms Is Ready For Sale In Kotwali,https://images-cdn.bproperty.com/thumbnails/1470034-400x300.jpeg,https://www.bproperty.com/en/property/details-5446251.html,BDT,92.92 Lakh,"Patharghata, Kotwali, Chattogram",Apartment,3,3,"2,065 sqft", Call, Email
"1775 Sq Ft Apartment With 3 Bedrooms Is Available To Sale In Kotwali, Patharghata",https://images-cdn.bproperty.com/thumbnails/1470028-400x300.jpeg,https://www.bproperty.com/en/property/details-5446250.html,BDT,79.88 Lakh,"Patharghata, Kotwali, Chattogram",Apartment,3,3,"1,775 sqft", Call, Email
"1575 Sq Ft Ready Apartment Is Up For Sale In Kotwali, Patharghata",https://images-cdn.bproperty.com/thumbnails/1470029-400x300.jpeg,https://www.bproperty.com/en/property/details-5446249.html,BDT,70.88 Lakh,"Patharghata, Kotwali, Chattogram",Apartment,3,3,"1,575 sqft", Call, Email
Get Ready For Your Countless Peaceful Days With This 1575 Sq Ft Flat At Patharghata Is Up To Sale,https://images-cdn.bproperty.com/thumbnails/1469980-400x300.jpeg,https://www.bproperty.com/en/property/details-4413604.html,BDT,70.86 Lakh,"Patharghata, Kotwali, Chattogram",Apartment,3,3,"1,575 sqft", Call, Email
"Buy This Nice Flat Of 1190 Sq Ft, Which Is Located At Chandgaon Residential Area, 4 No Chandgaon Ward",,https://www.bproperty.com/en/property/details-4541785.html,BDT,57 Lakh,"B-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,190 sqft", Call, Email
Buy This 1528 Sq Ft Flat Which Is Ready To Grow Your Home Experience In 9 No. North Pahartali Ward,,https://www.bproperty.com/en/property/details-4674665.html,BDT,68 Lakh,"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,528 sqft", Call, Email
This 1400 Sq. ft Flat Which Is Available In Halishahar Housing Estate-Block H For Sale Will Ensure Your Higher Quality Of Living,,https://www.bproperty.com/en/property/details-3184855.html,BDT,75 Lakh,"Road No 1, Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email
"Establish Your Peace In This Nice 2500 Sq Ft Apartment For Sale At Zakir Hossain By Lane, East Nasirabad",,https://www.bproperty.com/en/property/details-3278132.html,BDT,1.2 Crore,"East Nasirabad, Chattogram",Apartment,4,4,"2,500 sqft", Call, Email
Nice 1520 SQ FT flat is available for sale in Jamal Khan,,https://www.bproperty.com/en/property/details-3315730.html,BDT,80 Lakh,"Jamal Khan, Chattogram",Apartment,3,3,"1,520 sqft", Call, Email
"An Adequate And Cozy Flat Is Ready For Sale At Polytechnic Road, Bayazid .",,https://www.bproperty.com/en/property/details-3126852.html,BDT,58 Lakh,"Bayazid, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email
A Well-defined Residential Apartment Of 1657 Sq Ft Is Available For Sale In 16 No. Chawk Bazaar Ward,,https://www.bproperty.com/en/property/details-4714525.html,BDT,1.6 Crore,"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,3,4,"1,657 sqft", Call, Email
1080 Square Feet Ready Apartment Is Up To Sale At Jamal Khan Road,,https://www.bproperty.com/en/property/details-5450155.html,BDT,68 Lakh,"Jamal Khan, Chattogram",Apartment,2,3,"1,080 sqft", Call, Email
"Take A Quick Look At This 940 Sq Ft Flat For Sale In Ashkar Dighir Par, Jamal Khan",,https://www.bproperty.com/en/property/details-5408558.html,BDT,48.88 Lakh,"Ashkar Dighir Par, Jamal Khan, Chattogram",Apartment,3,3,940 sqft, Call, Email
"Built With Modern Amenities, Check This Medium Size Flat For Sale In Somobay Residential Area-Bayazid .",,https://www.bproperty.com/en/property/details-5397566.html,BDT,50 Lakh,"Block A, Somobay Residential Area, Bayazid, Chattogram",Apartment,3,3,"1,137 sqft", Call, Email
1650 Sq Ft Apartment With 3 Cozy Bedrooms Is Set For Sale In South Khulshi,,https://www.bproperty.com/en/property/details-5432304.html,BDT,1.35 Crore,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
For Selling Purpose This Flat Is Now Vacant In South Khulshi .,,https://www.bproperty.com/en/property/details-5432286.html,BDT,1.35 Crore,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
Worthy 1400 SQ FT residence is for sale at Lal Khan Bazaar,,https://www.bproperty.com/en/property/details-5447434.html,BDT,78 Lakh,"Dampara, 14 No. Lalkhan Bazaar Ward, Lal Khan Bazaar, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email
Attention Home Finders! A 1165 Sq. ft Flat Is Up For Sale At Banani Housing Society-Bayazid.,,https://www.bproperty.com/en/property/details-3554750.html,BDT,52 Lakh,"Banani Housing Society, Shahid Nagar, Bayazid, Chattogram",Apartment,2,2,"1,165 sqft", Call, Email
"A 3 Katha Residential Plot Is Up For Sale At 3 No. Panchlaish Ward, Bayazid",,https://www.bproperty.com/en/property/details-5443187.html,BDT,1.2 Crore,"Block C, Rupnagar Residential Area, Wazedia, 3 No. Panchlaish Ward, Bayazid, Chattogram",Plot,"2,160 sqft",,, Call, Email
A Pleasant Flat Of 1650 Sq Ft Is Available For Sale In South Khulshi,,https://www.bproperty.com/en/property/details-5432301.html,BDT,1.35 Crore,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
Find 1700 SQ FT flat available for sale in Jamal Khan,,https://www.bproperty.com/en/property/details-3864017.html,BDT,1.02 Crore,"Jamal Khan, Chattogram",Apartment,4,4,"1,700 sqft", Call, Email
"Choose your destination, 1800 SQ FT flat which is available for sale in Jamal Khan",,https://www.bproperty.com/en/property/details-3864025.html,BDT,1.08 Crore,"Jamal Khan, Chattogram",Apartment,4,4,"1,800 sqft", Call, Email
Available At 29 No. West Madarbari Ward A 2 Bedroom Residential Apartment For Sale.,,https://www.bproperty.com/en/property/details-5419281.html,BDT,32 Lakh,Chattogram,Apartment,2,2,"1,000 sqft", Call, Email
"A 1472 Sq Ft Apartment Is Up For Sale At 22 No. Enayet Bazaar Ward, Enayet Bazar Road",,https://www.bproperty.com/en/property/details-4983600.html,BDT,1.62 Crore,"22 No. Enayet Bazaar Ward, Chattogram",Apartment,3,3,"1,472 sqft", Call, Email
Reasonable 1550 SQ FT flat is available for sale in Chandgaon,https://images-cdn.bproperty.com/thumbnails/1395162-400x300.jpeg,https://www.bproperty.com/en/property/details-5330175.html,BDT,77.5 Lakh,"B-Block Chandgaon R/A, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,550 sqft", Call, Email
Worthy 1180 SQ FT residence is for sale at Lichu Bagan,https://images-cdn.bproperty.com/thumbnails/1461999-400x300.jpeg,https://www.bproperty.com/en/property/details-5355113.html,BDT,80 Lakh,"Lichu Bagan, Jamal Khan, Chattogram",Apartment,3,3,"1,180 sqft", Call, Email
"5 Katha Plot Is For Sale In Bayazid, Shahid Nagar",https://images-cdn.bproperty.com/thumbnails/1461158-400x300.jpeg,https://www.bproperty.com/en/property/details-5432903.html,BDT,1.5 Crore,"Shahid Nagar, Bayazid, Chattogram",Plot,"3,600 sqft",,, Call, Email
Offering you 890 SQ FT flat for sale in Ali Nagar,https://images-cdn.bproperty.com/thumbnails/1460348-400x300.jpeg,https://www.bproperty.com/en/property/details-5397351.html,BDT,30 Lakh,"Momin Bagh R/A, Ali Nagar, Bayazid, Chattogram",Apartment,2,2,890 sqft, Call, Email
926 SQ FT flat is now for sale in Bayazid,,https://www.bproperty.com/en/property/details-5397349.html,BDT,35 Lakh,"Momin Bagh R/A, Ali Nagar, Bayazid, Chattogram",Apartment,2,2,926 sqft, Call, Email
"This Ready Apartment At Halishahar, Near Khalpar Mosque Is Up For Sale.",,https://www.bproperty.com/en/property/details-1975836.html,BDT,90.47 Lakh,"Road No 2, Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,4,"1,645 sqft", Call, Email
Visit This Apartment For Sale In Halishahar Near Khalpar Mosque,,https://www.bproperty.com/en/property/details-1975795.html,BDT,77.31 Lakh,"Road No 2, Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"1,645 sqft", Call, Email
In 26 No. North Halishahar Ward A Standard Flat Is For Sale,,https://www.bproperty.com/en/property/details-3550943.html,BDT,54 Lakh,"Halishahar Cantonment, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"1,300 sqft", Call, Email
A 1650 Square Feet Residential Apartment Is Up For Sale At South Khulshi,,https://www.bproperty.com/en/property/details-5432299.html,BDT,1.35 Crore,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,650 sqft", Call, Email
Buy This Amazing 970 Sq Ft Ready Apartment In A Serene Area Like 29 No. West Madarbari Ward,,https://www.bproperty.com/en/property/details-5370392.html,BDT,40.74 Lakh,"29 No. West Madarbari Ward, Chattogram",Apartment,3,2,970 sqft, Call, Email
An Impressive 2987 Sq Ft Residential Apartment Is Up For Sale In The Center Of Panchlaish Residential Area.,,https://www.bproperty.com/en/property/details-4739055.html,BDT,2.7 Crore,"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,4,5,"2,987 sqft", Call, Email
"This 1800 Sq Ft Apartment Is Ready For Sale At Mehidibag Road, 15 No. Bagmoniram Ward",,https://www.bproperty.com/en/property/details-3192061.html,BDT,1.1 Crore,"Mehidibag, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,4,"1,800 sqft", Call, Email
"An Adequate And Cozy 1505 Square Feet Flat Is Ready For Sale At Jalalabad Housing Society, West Khulshi .",,https://www.bproperty.com/en/property/details-5033815.html,BDT,80 Lakh,"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,505 sqft", Call, Email
"See This 950 Sq Ft Apartment For Sale Is All Set For You In 12 No. Sarai Para Ward, Double Mooring",,https://www.bproperty.com/en/property/details-3496796.html,BDT,34 Lakh,"Rampur, 12 No. Sarai Para Ward, Double Mooring, Chattogram",Apartment,2,2,950 sqft, Call, Email
Close To East Madarbari City Corporation Girls High School A 1430 Square Feet Residential Apartment For Sale.,,https://www.bproperty.com/en/property/details-5373168.html,BDT,74.36 Lakh,"30 No. East Madarbari Ward, Chattogram",Apartment,3,3,"1,430 sqft", Call, Email
1130 Sq Ft Apartment Is Set To Give You An Overwhelming Experience In The Area Of 29 No. West Madarbari Ward,,https://www.bproperty.com/en/property/details-5370390.html,BDT,47.46 Lakh,"29 No. West Madarbari Ward, Chattogram",Apartment,2,2,"1,130 sqft", Call, Email
Live In This Suitable Flat Of 1180 Sq Ft Up For Sale In 33 No. Firingee Bazaar Ward,,https://www.bproperty.com/en/property/details-5422139.html,BDT,64.9 Lakh,"33 No. Firingee Bazaar Ward, Chattogram",Apartment,3,3,"1,180 sqft", Call, Email
This Flat Beside To East Madarbari City Corporation Girls High School Is Up For Sale With An Area Of 1400 Sq. ft,,https://www.bproperty.com/en/property/details-5373157.html,BDT,72.8 Lakh,"30 No. East Madarbari Ward, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email
Celebrate The Delightful Atmosphere Of This 1604 Sq Ft Flat Ready For Sale In Mehidibag,,https://www.bproperty.com/en/property/details-3192318.html,BDT,88.22 Lakh,"Mehidibag, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,4,"1,604 sqft", Call, Email
Buy This Elegant 1430 Sq Ft Apartment In 30 No. East Madarbari Ward,,https://www.bproperty.com/en/property/details-5373188.html,BDT,74.36 Lakh,"30 No. East Madarbari Ward, Chattogram",Apartment,3,3,"1,430 sqft", Call, Email
"This Very New Nice Flat Of 1230 Sq Ft Is Up For Sale In Majhirghat Road, 30 No. East Madarbari Ward",,https://www.bproperty.com/en/property/details-5373180.html,BDT,63.96 Lakh,"30 No. East Madarbari Ward, Chattogram",Apartment,3,3,"1,230 sqft", Call, Email
1800 Sq. ft Apartment Is Available For Sale In Rahmatganj Which Is Tailored To Your Highest Standards,,https://www.bproperty.com/en/property/details-5429706.html,BDT,1.44 Crore,"Rahmatganj, Jamal Khan, Chattogram",Apartment,3,3,"1,800 sqft", Call, Email
This Flat In North Halishahar With A Convenient Price Is Up For Sale,https://images-cdn.bproperty.com/thumbnails/797768-400x300.jpeg,https://www.bproperty.com/en/property/details-2023565.html,BDT,67.05 Lakh,"Block K, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"1,490 sqft", Call, Email
