Title,_287661cb_URL,Image,c4fc20ba,f343d9ce,_7afabd84,_4b74b8bb,_4720d1a0,_4720d1a01,_4720d1a02,_85d9f2e2,_3d84afe9,Image3
"Choose your destination, 950 SQ FT flat which is available to Rent in Bayazid",https://www.bproperty.com/en/property/details-2023345.html,,BDT,10 Thousand,"Banani Housing Society, Shahid Nagar, Bayazid, Chattogram",Apartment,2,2,950 sqft, Call, Email,
Reasonable 1110 SQ FT flat is available to Rent in Double Mooring near to DBBL ATM,https://www.bproperty.com/en/property/details-2003444.html,,BDT,16 Thousand,"Middle Rampur, 25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,3,2,"1,110 sqft", Call, Email,
An Apartment Up For Rent Is Located At Double Mooring Near To Anandipur Bazar,https://www.bproperty.com/en/property/details-1985471.html,,BDT,16 Thousand,"25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,3,3,"1,360 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"An Apartment Is Up For Rent In East Rampur , Near Chittagong Liberty School and College",https://www.bproperty.com/en/property/details-1982331.html,https://images-cdn.bproperty.com/thumbnails/108542-400x300.jpeg,BDT,10 Thousand,"East Rampur, 25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,2,2,760 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
800 Sq Ft Flat For Rent In Shahi R/a Near Sholokbahar Jan Muhammad Jame Masjid,https://www.bproperty.com/en/property/details-1863236.html,https://images-cdn.bproperty.com/thumbnails/464224-400x300.jpeg,BDT,9 Thousand,"Shahi Residential Area, Badurtala, Sholokbahar, Chattogram",Apartment,2,1,800 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"1600 Sq Ft Flat With Refreshing Balcony Sights Is For Rent In Panchlaish, Sugandha Residential Area",https://www.bproperty.com/en/property/details-5475619.html,https://images-cdn.bproperty.com/thumbnails/1506172-400x300.jpeg,BDT,22 Thousand,"Sugandha Residential Area, Panchlaish, Chattogram",Apartment,3,3,"1,600 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"Reside conveniently, in this 950 SQ FT apartment for rent in Bahaddarhat",https://www.bproperty.com/en/property/details-5469779.html,https://images-cdn.bproperty.com/thumbnails/1500387-400x300.jpeg,BDT,12 Thousand,"Bahaddarhat 1K. M, Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"Find Your Nook And Vibe With The Mellow Environment Of This Apartment, Amidst Of Your Monotonous City Life",https://www.bproperty.com/en/property/details-4851638.html,https://images-cdn.bproperty.com/thumbnails/1341285-400x300.jpeg,BDT,6.5 Thousand,"11 No. South Kattali Ward, Chattogram",Apartment,2,1,600 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Tastefully Designed This 1900 Sq. Ft Apartment Is Now Vacant For Rent In Hillview Residential Area.,https://www.bproperty.com/en/property/details-5165058.html,https://images-cdn.bproperty.com/thumbnails/1195846-400x300.jpeg,BDT,35 Thousand,"Hillview Residential Area, 15 No. Bagmoniram Ward, Chattogram",Apartment,3,3,"1,900 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
1200 Sq Ft Flat For Rent In Firinghee Bazar Close To Firinghee Bazar Jame Masjid,https://www.bproperty.com/en/property/details-1851795.html,https://images-cdn.bproperty.com/thumbnails/478518-400x300.jpeg,BDT,24 Thousand,"33 No. Firingee Bazaar Ward, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"Get comfortable in a 1100 SQ FT flat for rent in 4 No Chandgaon Ward, near Farider Para Government Primary School",https://www.bproperty.com/en/property/details-1798547.html,https://images-cdn.bproperty.com/thumbnails/553753-400x300.jpeg,BDT,18 Thousand,"North Forida Para, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
A Decent 1500 SQ FT flat which is near to Panchlaish Thana is now for Rent in Panchlaish,https://www.bproperty.com/en/property/details-1797103.html,https://images-cdn.bproperty.com/thumbnails/556407-400x300.jpeg,BDT,26 Thousand,"Sugandha Residential Area, Panchlaish, Chattogram",Apartment,3,3,"1,500 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
1350 SQ FT flat is now for Rent which is in Double Mooring near to Bangladesh Krishi Bank,https://www.bproperty.com/en/property/details-1780045.html,https://images-cdn.bproperty.com/thumbnails/586569-400x300.jpeg,BDT,16 Thousand,"Bangladesh Bank Colony, 27 No. South Agrabad Ward, Double Mooring, Chattogram",Apartment,3,3,"1,350 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"An apartment is ready for rent at Panchlaish, near Sugandha R/A City Corporation Jame Masjid",https://www.bproperty.com/en/property/details-1904074.html,https://images-cdn.bproperty.com/thumbnails/271372-400x300.jpeg,BDT,18 Thousand,"Sugandha Residential Area, Panchlaish, Chattogram",Apartment,3,3,873 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"Apartment for Rent in Bayazid nearby Bayazid Bostami Mazar, Hill View R/A",https://www.bproperty.com/en/property/details-1911084.html,https://images-cdn.bproperty.com/thumbnails/269988-400x300.jpeg,BDT,15 Thousand,"Hill View R/A, Bayazid, Chattogram",Apartment,3,2,"1,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Apartment for Rent in North Agrabad Ward nearby Double Mooring Jame Masjid,https://www.bproperty.com/en/property/details-1908580.html,https://images-cdn.bproperty.com/thumbnails/270283-400x300.jpeg,BDT,14 Thousand,"Shantibag Residential Area, 24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,3,2,"1,220 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
1400 Sq Ft Flat For Rent In Double Mooring Near Jamia Ahmadia Sunnia Alia Madrasah,https://www.bproperty.com/en/property/details-1899153.html,https://images-cdn.bproperty.com/thumbnails/272513-400x300.jpeg,BDT,22 Thousand,"Karnaphuly Abashik Elaka, 25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,3,3,"1,400 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
A Very Well-fitted Apartment Is Here Sited At South Khulshi Featuring 1000 Sq Ft Space For Rent,https://www.bproperty.com/en/property/details-5143654.html,https://images-cdn.bproperty.com/thumbnails/1174135-400x300.jpeg,BDT,15 Thousand,"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,2,2,"1,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"In The Location Of Khulshi Hill R/a, An Apartment For Rent Near Nasirabad Girls' High School",https://www.bproperty.com/en/property/details-2054165.html,https://images-cdn.bproperty.com/thumbnails/898983-400x300.jpeg,BDT,50 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,4,"2,600 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"910 SQ FT apartment for rent in Bayazid, near mosque",https://www.bproperty.com/en/property/details-1870679.html,https://images-cdn.bproperty.com/thumbnails/457689-400x300.jpeg,BDT,11 Thousand,"Block B, Hill View R/A, Bayazid, Chattogram",Apartment,2,2,910 sqft, Call, Email,
"Apartment of 1200 SQ FT for rent in Double Mooring, near ICMAB Chatogram Branch, CMA Bhaban,Chatogram",https://www.bproperty.com/en/property/details-1849553.html,,BDT,20 Thousand,"CDA Residential Area, South Agrabad, Double Mooring, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email,
"A 1000 Sq Ft, Apartment Is Ready To Rent At Double Mooring Nearby Halishahar H-block Jame Mosjid",https://www.bproperty.com/en/property/details-1847954.html,,BDT,13.5 Thousand,"Karnaphuly Abashik Elaka, 25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,2,2,"1,000 sqft", Call, Email,
"Flat For Rent In Double Mooring Near Chittagong Port Cargo Station, Shamoly Residential Area",https://www.bproperty.com/en/property/details-1897013.html,,BDT,12 Thousand,"24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,2,2,"1,160 sqft", Call, Email,
"Apartment for rent at Double Mooring, near Uttara Bank Limited",https://www.bproperty.com/en/property/details-1879173.html,,BDT,15 Thousand,"Karnaphuly Abashik Elaka, 25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,3,2,"1,200 sqft", Call, Email,
"Reside at ease, in this 1300 SQ FT flat for rent in South Khulshi",https://www.bproperty.com/en/property/details-5089979.html,,BDT,18 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,2,"1,300 sqft", Call, Email,
Check Out This 800 Sq Ft Flat Up For Rent At Bayazid,https://www.bproperty.com/en/property/details-5086655.html,,BDT,16 Thousand,"Bayazid, Chattogram",Apartment,2,2,800 sqft, Call, Email,
An Apartment For Rent Is All Set For You To Settle In 27 No. South Agrabad Ward .,https://www.bproperty.com/en/property/details-2097173.html,https://images-cdn.bproperty.com/thumbnails/1009193-400x300.jpeg,BDT,7.5 Thousand,"27 No. South Agrabad Ward, Double Mooring, Chattogram",Apartment,2,1,650 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
This 1600 Sq Ft Furnished Apartment Is For Rent At North Khulshi,https://www.bproperty.com/en/property/details-4560629.html,https://images-cdn.bproperty.com/thumbnails/1505872-400x300.jpeg,BDT,75 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,4,"1,600 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
For Rental Purpose This 950 Sq Ft Flat Is Now Up For Rent In Dewan Bazar,https://www.bproperty.com/en/property/details-2081800.html,https://images-cdn.bproperty.com/thumbnails/983253-400x300.jpeg,BDT,14 Thousand,"Ghat Farhat Beg, Dewan Bazar, Bakalia, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Spaciously Designed This 1100 Sq. Ft Apartment Is Now Vacant For Rent In Pahartali,https://www.bproperty.com/en/property/details-2047864.html,https://images-cdn.bproperty.com/thumbnails/884380-400x300.jpeg,BDT,14 Thousand,"Pahartali, 12 No. Sarai Para Ward, Double Mooring, Chattogram",Apartment,3,2,"1,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Here Is A Cozy And Nice Furnished Flat Of 1600 Sq Ft Waiting For Rent At Khulshi Hill R/A,https://www.bproperty.com/en/property/details-4560638.html,https://images-cdn.bproperty.com/thumbnails/1505792-400x300.jpeg,BDT,75 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,4,"1,600 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Define Your Home Taste By Renting This Residence Of 1100 Sq Ft At Kazir Dewri,https://www.bproperty.com/en/property/details-4665881.html,https://images-cdn.bproperty.com/thumbnails/1505660-400x300.jpeg,BDT,22 Thousand,"Kazir Dewri, Chattogram",Apartment,3,2,"1,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"1100 Sq Ft Cozy Flat For Rent In Kazir Dewri , With Impressive Features And Price.",https://www.bproperty.com/en/property/details-4665880.html,https://images-cdn.bproperty.com/thumbnails/1505658-400x300.jpeg,BDT,22 Thousand,"Kazir Dewri, Chattogram",Apartment,3,2,"1,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Get Ready For Your Countless Peaceful Days By Renting This 1250 Sq Ft Flat At Chandrima .,https://www.bproperty.com/en/property/details-3677651.html,https://images-cdn.bproperty.com/thumbnails/1505651-400x300.jpeg,BDT,20 Thousand,"Chandrima, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,250 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Take A Quick Look At This 2100 Sq Ft Flat For Rent In Rahmatganj,https://www.bproperty.com/en/property/details-3597950.html,https://images-cdn.bproperty.com/thumbnails/1505597-400x300.jpeg,BDT,35 Thousand,"Rahmatganj, Jamal Khan, Chattogram",Apartment,3,3,"2,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"At Bahaddarhat- Bus Terminal Connected Road, This 950 Sq Ft Nice Flat Is Up For Rent Within Your Affordability.",https://www.bproperty.com/en/property/details-5474311.html,https://images-cdn.bproperty.com/thumbnails/1504550-400x300.jpeg,BDT,18 Thousand,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
All Set For Rental Purpose This 1250 Sq Ft Flat In A Peaceful Location Of Bahaddarhat- Bus Terminal Connected Road,https://www.bproperty.com/en/property/details-5474310.html,https://images-cdn.bproperty.com/thumbnails/1504552-400x300.jpeg,BDT,22 Thousand,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,250 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
For The Lifestyle You Deserve – 850 Sq Ft Home For Rent In Oxygen Kuwaish Road,https://www.bproperty.com/en/property/details-5474165.html,https://images-cdn.bproperty.com/thumbnails/1504546-400x300.jpeg,BDT,8.5 Thousand,"Bayazid, Chattogram",Apartment,2,2,850 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Nice Flat Of 1200 Sq Ft Can Be Found In North Halishahar To Rent,https://www.bproperty.com/en/property/details-2041821.html,https://images-cdn.bproperty.com/thumbnails/861194-400x300.jpeg,BDT,18 Thousand,"Road No 2, Block L, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,3,3,"1,200 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Bakalia Provides You This 1026 Sq. Ft. Flat For Rent,https://www.bproperty.com/en/property/details-1960615.html,https://images-cdn.bproperty.com/thumbnails/192809-400x300.jpeg,BDT,10 Thousand,"Chandapukur Par, Rahattar Pul, 17 No West Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,"1,026 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
A 1000 Sq Ft Flat For Rent With Convenient Bedrooms That Is Available In Rahmatganj,https://www.bproperty.com/en/property/details-3147991.html,https://images-cdn.bproperty.com/thumbnails/1504513-400x300.jpeg,BDT,21 Thousand,"Jamal Khan, Chattogram",Apartment,2,2,"1,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Take rent of a pleasantly done 900 SQ FT residential flat located at Railway Colony,https://www.bproperty.com/en/property/details-5089660.html,https://images-cdn.bproperty.com/thumbnails/1173089-400x300.jpeg,BDT,10.5 Thousand,"Railway Colony, Chattogram",Apartment,2,2,900 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Find Your Desired Apartment At This 1100 Sq Ft Ready Flat For Rent At Green View Residential Area,https://www.bproperty.com/en/property/details-2066319.html,https://images-cdn.bproperty.com/thumbnails/948958-400x300.jpeg,BDT,17 Thousand,"Green View Residential Area, 11 No. South Kattali Ward, Chattogram",Apartment,3,3,"1,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
You can move into this well planned and comfortable 1150 SQ FT Residential flat in Halishahar for rent,https://www.bproperty.com/en/property/details-5474765.html,,BDT,15 Thousand,"Halishahar, Chattogram",Apartment,2,2,"1,150 sqft", Call, Email,
"Start residing in this 740 SQ FT, properly developed apartment for rent, in Halishahar",https://www.bproperty.com/en/property/details-5474772.html,,BDT,10 Thousand,"Halishahar, Chattogram",Apartment,2,1,740 sqft, Call, Email,
Take This Flat Of 1100 Sq Ft For Rent To Reside Comfortably In South Khulshi .,https://www.bproperty.com/en/property/details-5089980.html,,BDT,16 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,2,"1,100 sqft", Call, Email,
This Flat Of 950 Sq Ft Is Ready To Serve You With A Peaceful Environment At Bahaddarhat -Bus Terminal Connected Road.,https://www.bproperty.com/en/property/details-5474305.html,,BDT,18 Thousand,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,2,2,950 sqft, Call, Email,
This Home In Rahmatganj Is Up For Rent In A Wonderful Neighborhood,https://www.bproperty.com/en/property/details-3147986.html,https://images-cdn.bproperty.com/thumbnails/1504450-400x300.jpeg,BDT,21 Thousand,"Jamal Khan, Chattogram",Apartment,2,2,"1,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Check This 2 Bedroom Flat In Rahmatganj For Rent Which Is Ready To Move In,https://www.bproperty.com/en/property/details-3148271.html,https://images-cdn.bproperty.com/thumbnails/1504452-400x300.jpeg,BDT,21 Thousand,"Rahmatganj, Jamal Khan, Chattogram",Apartment,2,2,"1,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Reasonably Priced A Residential Flat Of 1250 Sq Ft Is Ready For Track Down In Bahaddarhat -Bus Terminal Connected Road,https://www.bproperty.com/en/property/details-5474309.html,https://images-cdn.bproperty.com/thumbnails/1504444-400x300.jpeg,BDT,22 Thousand,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,250 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"This 1250 Sq Ft Apartment Could Be Your Right Choice For Rent, Located In Bahaddarhat",https://www.bproperty.com/en/property/details-5474313.html,https://images-cdn.bproperty.com/thumbnails/1504448-400x300.jpeg,BDT,22 Thousand,"Bahaddarhat, 4 No Chandgaon Ward, Chattogram",Apartment,3,3,"1,250 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
A Beautiful Apartment For Rent Is All Set For You In Khulshi Hill R/A .,https://www.bproperty.com/en/property/details-4560625.html,https://images-cdn.bproperty.com/thumbnails/1505280-400x300.jpeg,BDT,30 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,600 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Grab This Apartment Up For Rent At 37 No. North-Middle Halishahar Ward,https://www.bproperty.com/en/property/details-5474767.html,,BDT,15 Thousand,"Halishahar, Chattogram",Apartment,2,2,"1,150 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
In The Location Of 37 No. North-Middle Halishahar Ward An Adequate House Is For Rent .,https://www.bproperty.com/en/property/details-5474769.html,https://images-cdn.bproperty.com/thumbnails/1505227-400x300.jpeg,BDT,9 Thousand,"Halishahar, Chattogram",Apartment,2,1,700 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Grab This 2 Bedroom Apartment Up For Rent At 37 No. North-Middle Halishahar Ward .,https://www.bproperty.com/en/property/details-5474773.html,https://images-cdn.bproperty.com/thumbnails/1505228-400x300.jpeg,BDT,10 Thousand,"Halishahar, Chattogram",Apartment,2,1,740 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
An Apartment For Rent Is All Set For You To Settle In West Shahid Nagar .,https://www.bproperty.com/en/property/details-5422581.html,https://images-cdn.bproperty.com/thumbnails/1505224-400x300.jpeg,BDT,9.5 Thousand,"Oxygen, Bayazid, Chattogram",Apartment,2,2,"1,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
1250 Sq. Ft Flat For Rent Covering A Beautiful Area In West Khulshi R/A .,https://www.bproperty.com/en/property/details-4702692.html,https://images-cdn.bproperty.com/thumbnails/1362845-400x300.jpeg,BDT,18 Thousand,"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",Apartment,3,3,"1,250 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
This 2000 Square Feet And 3 Bedroom Flat In South Khulshi With A Convenient Price Is Up For Rent,https://www.bproperty.com/en/property/details-5026875.html,https://images-cdn.bproperty.com/thumbnails/1358135-400x300.jpeg,BDT,35 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,4,"2,000 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Lovely Apartment Of 1100 Sq Ft Is Up For Rent In Dreamland R/a,https://www.bproperty.com/en/property/details-3749597.html,https://images-cdn.bproperty.com/thumbnails/1354540-400x300.jpeg,BDT,15 Thousand,"Dreamland Residential Area, Bayazid, Chattogram",Apartment,3,3,"1,100 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"Beautiful Apartment Of 1050 Sq Ft For Rent In Double Mooring, 23 No. North Pathantooly Ward",https://www.bproperty.com/en/property/details-4938558.html,https://images-cdn.bproperty.com/thumbnails/1345312-400x300.jpeg,BDT,15 Thousand,"23 No. North Pathantooly Ward, Double Mooring, Chattogram",Apartment,2,2,"1,050 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"Apartment Of 1065 Sq Ft For Rent In Dhanialapara, 23 No. Pathantoli Ward, Double Mooring",https://www.bproperty.com/en/property/details-4938568.html,https://images-cdn.bproperty.com/thumbnails/1345315-400x300.jpeg,BDT,16 Thousand,"23 No. North Pathantooly Ward, Double Mooring, Chattogram",Apartment,2,2,"1,065 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"In An Urban Location And Reasonable Price, This 1250 Sq. Ft Flat Is Available For Rent In Nabab Siraj Ud Daula Road, Bakalia .",https://www.bproperty.com/en/property/details-5330584.html,https://images-cdn.bproperty.com/thumbnails/1339857-400x300.jpeg,BDT,30 Thousand,"Bakalia, Chattogram",Apartment,3,3,"1,250 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Affordable And Wonderful 1700 Square Feet Flat Up For Rent In Nasirabad Properties Residential Area,https://www.bproperty.com/en/property/details-5113673.html,https://images-cdn.bproperty.com/thumbnails/1493150-400x300.jpeg,BDT,40 Thousand,"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,3,3,"1,700 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
This 600 Sq. Ft Convenient Flat Is For Rent In Tayebiyea Housing Society.,https://www.bproperty.com/en/property/details-4732409.html,https://images-cdn.bproperty.com/thumbnails/1144879-400x300.jpeg,BDT,7.5 Thousand,"Tayebiyea Housing Society, Shahid Nagar, Bayazid, Chattogram",Apartment,2,1,600 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
For Rental purpose 900 SQ FT apartment is now up to Rent in Bakalia,https://www.bproperty.com/en/property/details-2050161.html,https://images-cdn.bproperty.com/thumbnails/887001-400x300.jpeg,BDT,13 Thousand,"19 No. South Bakalia Ward, Bakalia, Chattogram",Apartment,2,2,900 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"850 Sq Ft Flat For Rent At Signal Road, Bayazid",https://www.bproperty.com/en/property/details-2028210.html,https://images-cdn.bproperty.com/thumbnails/812677-400x300.jpeg,BDT,10 Thousand,"Bayazid, Chattogram",Apartment,2,2,850 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Check This Apartment Up For Rent At Oxygen Near Delowar Company Jame Masjid.,https://www.bproperty.com/en/property/details-1926061.html,https://images-cdn.bproperty.com/thumbnails/303319-400x300.jpeg,BDT,9.5 Thousand,"Oxygen, Bayazid, Chattogram",Apartment,2,2,900 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Apartment for Rent in Kattali nearby Kattali Jame Masjid,https://www.bproperty.com/en/property/details-1921993.html,https://images-cdn.bproperty.com/thumbnails/267302-400x300.jpeg,BDT,15 Thousand,"CDA R/A, 10 No. North Kattali Ward, Chattogram",Apartment,2,2,"1,050 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Check This Apartment Up For Rent At CDA R/A Near Baitul Moqaddas Jame Masjid,https://www.bproperty.com/en/property/details-1921994.html,https://images-cdn.bproperty.com/thumbnails/238274-400x300.jpeg,BDT,10 Thousand,"CDA R/A, 10 No. North Kattali Ward, Chattogram",Apartment,2,1,800 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Flat for rent in 10 No. North Kattali Ward near Baitul Moqaddas Jame Masjid,https://www.bproperty.com/en/property/details-1908711.html,https://images-cdn.bproperty.com/thumbnails/270496-400x300.jpeg,BDT,12.5 Thousand,"CDA R/A, 10 No. North Kattali Ward, Chattogram",Apartment,2,2,950 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Flat for rent in 10 No. North Kattali Ward near Foy's Lake Amusement World,https://www.bproperty.com/en/property/details-1908713.html,,BDT,11 Thousand,"CDA R/A, 10 No. North Kattali Ward, Chattogram",Apartment,2,2,"1,030 sqft", Call, Email,
"Flat Can Be Found In Khulshi Hill R/a For Rent, Near Khulshi Police Station",https://www.bproperty.com/en/property/details-1883451.html,,BDT,30 Thousand,"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,450 sqft", Call, Email,
"You can move into this well planned and comfortable Residential flat in Bayazid for rent, of 1280 SQ FT, near Wazedia Jameh Mosque",https://www.bproperty.com/en/property/details-1780574.html,,BDT,15 Thousand,"Shahid Nagar, Bayazid, Chattogram",Apartment,3,3,"1,280 sqft", Call, Email,
An affordable flat of 2200 SQ FT is available for rent at Panchlaish adjacent to Ekushey Hospital Private Ltd,https://www.bproperty.com/en/property/details-1755766.html,,BDT,34 Thousand,"Sugandha Residential Area, Panchlaish, Chattogram",Apartment,4,5,"2,200 sqft", Call, Email,
Well-built and properly designed residential apartment of 1150 SQ FT in Halishahar for rent,https://www.bproperty.com/en/property/details-5474764.html,,BDT,15 Thousand,"Halishahar, Chattogram",Apartment,2,2,"1,150 sqft", Call, Email,
"Comfortable, convenient and well-constructed 1150 SQ FT flat for rent in Halishahar",https://www.bproperty.com/en/property/details-5474766.html,,BDT,15 Thousand,"Halishahar, Chattogram",Apartment,2,2,"1,150 sqft", Call, Email,
"A Ready, Well Decorated 1700 Sq Ft Flat Is Up For Renting Purpose In South Khulshi .",https://www.bproperty.com/en/property/details-4520408.html,https://images-cdn.bproperty.com/thumbnails/1504309-400x300.jpeg,BDT,26 Thousand,"South Khulshi, Khulshi, Chattogram",Apartment,3,3,"1,700 sqft", Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
"Built with modern amenities, check this flat for rent which is 800 SQ FT in 11 No. South Kattali Ward",https://www.bproperty.com/en/property/details-5347105.html,https://images-cdn.bproperty.com/thumbnails/1346257-400x300.jpeg,BDT,11 Thousand,"Green View Residential Area, 11 No. South Kattali Ward, Chattogram",Apartment,2,2,800 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
Rent This Flat Of 900 Sq. ft At 7 No. West Sholoshohor Ward Is For The Ideal Urban Lifestyle You Dream About.,https://www.bproperty.com/en/property/details-5343161.html,https://images-cdn.bproperty.com/thumbnails/1343915-400x300.jpeg,BDT,12 Thousand,"Hamjarbag, 7 No. West Sholoshohor Ward, Chattogram",Apartment,2,2,900 sqft, Call, Email,https://images-cdn.bproperty.com/thumbnails/2-240x180.jpeg
